id,word,meaning1,meaning2,meaning3,level
1459,liter/litre,litre,hacim ölçüsü,sıvı ölçüsü,A2
1460,spaghetti,spagetti,ince makarna,uzun makarna,A2
1461,spaceship,uzay gemisi,uzay taşıtı,roket,A2
1462,awful,korkunç,berbat,çok kötü,A2
1463,space,uzay,boşluk,alan,A2
1464,hate,nefret etmek,hoşlanmamak,nefret,A2
1465,lively,canlı,neşe dolu,hareketli,A2
1466,supper,akşam yemeği,gece atıştırmalığı,hafif yemek,A2
1467,apparently,görünüşe göre,anlaşılan,belli ki,A2
1468,harvest,hasat,ekin biçme,ürün toplamak,A2
1469,average,ortalama,sıradan,orta,A2
1470,apply,başvurmak,uygulamak,geçerli olmak,A2
1471,lifestyle,yaşam tarzı,yaşam biçimi,hayat tarzı,A2
1472,hit,vurmak,çarpmak,başarı,A2
1473,appreciate,takdir etmek,değerini bilmek,minnettar olmak,A2
1474,hip hop/hip-hop/hiphop,hiphop,hip hop müziği,sokak dansı,A2
1475,level,seviye,düzey,kat,A2
1476,himself,kendisi,kendisini,bizzat,A2
1477,specific,belirli,özgül,özel,A2
1478,hiking,doğa yürüyüşü,yürüyüş,kır yürüyüşü,A2
1479,hike,yürüyüş yapmak,uzun yürüyüş,zam yapmak,A2
1480,author,yazar,eser sahibi,müellif,A2
1481,highway,otoyol,ana yol,karayolu,A2
1482,liberty,özgürlük,hürriyet,serbestlik,A2
1483,latter,adı geçenlerin ikincisi,sonraki,öbür,A2
1484,sunflower,ayçiçeği,gündöndü,günçiçeği,A2
1485,appointment,randevu,atayış,göreve getirme,A2
1486,license/licence,ehliyet,lisans,ruhsat,A2
1487,hey,hey,selamlama sözü,dikkat çekme,A2
1488,sunglasses,güneş gözlüğü,renkli gözlük,gözlük,A2
1489,lie,yalan söylemek,uzanmak,yalan,A2
1490,herself,kendisi,kendisini,bizzat,A2
1491,automatic,otomatik,kendiliğinden,istem dışı,A2
1492,hero,kahraman,başrol oyuncusu,yiğit,A2
1493,sunlight,güneş ışığı,güneş ışınları,gün ışığı,A2
1494,automatically,otomatik olarak,kendiliğinden,istem dışı,A2
1495,helpful,yardımsever,faydalı,yararlı,A2
1496,high school,lise,ortaöğretim,yüksek okul,A2
1497,load,yük,yüklemek,kargo,A2
1498,latest,en son,en yeni,son çıkan,A2
1499,ID card,kimlik kartı,nüfus cüzdanı,kimlik,A2
1500,itself,kendisi,kendi,bizzat,A2
1501,assistant,yardımcı,muavin,asistan,A2
1502,jam,reçel,tıkanıklık,sıkışma,A2
1503,stamp,pul,kaşe,damga,A2
1504,influence,etki,etkilemek,nüfuz,A2
1505,storm,fırtına,bora,kasırga,A2
1506,association,dernek,birlik,bağlantı,A2
1507,jelly,jöle,pelte,marel,A2
1508,stove,soba,ocak,fırın,A2
1509,artificial,yapay,suni,sahte,A2
1510,stair,merdiven,basamak,basamak taşı,A2
1511,inexpensive,ucuz,ekonomik,uygun fiyatlı,A2
1512,joke,şaka,fıkra,latife,A2
1513,journey,yolculuk,seyahat,gezi,A2
1514,stranger,yabancı,elden gelen,bilinmeyen kimse,A2
1515,joy,sevinç,neşe,mutluluk,A2
1516,indoor,kapalı alan,salon,iç mekân,A2
1517,windy,rüzgarlı,yel,rüzgar alan,A2
1518,strategy,strateji,taktik,izlence,A2
1519,indicate,göstermek,belirtmek,işaret etmek,A2
1520,wine,şarap,kırmızı şarap,üzüm suyu,A2
1521,staff,personel,kadro,çalışanlar,A2
1522,independence,bağımsızlık,istiklal,hürriyet,A2
1523,strength,güç,kuvvet,dayanıklılık,A2
1524,indeed,gerçekten,hakikaten,doğrusu,A2
1525,interest,ilgi,faiz,menfaat,A2
1526,international,uluslararası,milletlerarası,global,A2
1527,intelligent,zeki,akıllı,kavrayışlı,A2
1528,intelligence,zeka,istihbarat,akıl,A2
1529,steal,çalmak,hırsızlık yapmak,aşırmak,A2
1530,instrument,enstrüman,alet,cihaz,A2
1531,steak,biftek,et,bonfile,A2
1532,invade,istila etmek,işgal etmek,basmak,A2
1533,instead,yerine,bunun yerine,mukabil,A2
1534,instant,an,hazır,ani,A2
1535,statue,heykel,abide,büst,A2
1536,invent,icat etmek,uydurmak,bulmak,A2
1537,invention,icat,buluş,uydurma,A2
1538,inspiration,ilham,esin,esin kaynağı,A2
1539,statement,açıklama,ifade,beyanat,A2
1540,state,devlet,durum,eyalet,A2
1541,invite,davet etmek,çağırmak,buyur etmek,A2
1542,insect,böcek,haşere,böcekgiller,A2
1543,asleep,uykuda,uyuyor,dalmış,A2
1544,inner,iç,dahili,öz,A2
1545,issue,konu,mesele,sayı,A2
1546,injure,yaralamak,inciitmek,sakatlamak,A2
1547,stomach,mide,karın,sindirim organı,A2
1548,stomachache,karın ağrısı,mide ağrısı,mide sancısı,A2
1549,junior,kıdemce küçük,genç,alt sınıf,A2
1550,junk,eski eşya,çöp,hurda,A2
1551,stadium,stadyum,stat,spor alanı,A2
1552,impatient,sabırsız,aceleci,tahammülsüz,A2
1553,knock,vurmak,kapıyı çalmak,çarpma,A2
1554,impact,etki,çarpışma,darbe,A2
1555,argument,tartışma,münakaşa,sav,A2
1556,knowledge,bilgi,malumat,ilim,A2
1557,labor/labour,emek,iş,çalışma,A2
1558,spread,yaymak,yayılmak,sürmek,A2
1559,lack,eksiklik,yokluk,yoksun olmak,A2
1560,style,tarz,biçim,stil,A2
1561,argue,tartışmak,savunmak,ileri sürmek,A2
1562,imagination,hayal gücü,düş gücü,tasavvur,A2
1563,lake,göl,su birikintisi,lagün,A2
1564,image,görüntü,imaj,şekil,A2
1565,lamp,lamba,ampul,aydınlatıcı,A2
1566,land,kara,arazi,inmek,A2
1567,illegal,yasadışı,kaçak,gayrimeşru,A2
1568,ill,hasta,rahatsız,kötü,A2
1569,sports center/sports centre,spor merkezi,spor salonu,atletizm kompleksi,A2
1570,landscape,peyzaj,manzara,kır görünümü,A2
1571,lane,şerit,kulvar,patika,A2
1572,area,alan,bölge,saha,A2
1573,spoon,kaşık,kepçe,kaşıklamak,A2
1574,last,son,geçen,sürmek,A2
1575,architecture,mimarlık,mimari,yapı biçimi,A2
1576,athlete,atlet,sporcu,yarışmacı,A2
1577,stuff,şey,eşya,malzeme,A2
1578,astronaut,astronot,uzay adamı,kozmonot,A2
1579,winner,kazanan,galip,şampiyon,A2
1580,increase,artırmak,çoğalmak,artış,A2
1581,square,kare,meydan,dörtgen,A2
1582,include,içermek,dahil etmek,kapsamak,A2
1583,inch,inç,adım adım ilerlemek,küçük ölçü,A2
1584,killer,katil,öldürücü,cani,A2
1585,strike,grev,vurmak,çarpmak,A2
1586,kilo,kilo,kilogram,ağırlık ölçüsü,A2
1587,kilogram/kilogramme,kilogram,kilo,kütle birimi,A2
1588,improve,geliştirmek,iyileştirmek,ilerletmek,A2
1589,string,ip,sicim,telli çalgı teli,A2
1590,ID,kimlik,hüviyet,kimlik kartı,A2
1591,kilometer/kilometre,kilometre,km,uzunluk ölçüsü,A2
1592,kindly,nazikçe,lütfedip,tatlılıkla,A2
1593,armed,silahlı,donanımlı,kuvvetli,A2
1594,kingdom,krallık,saltanat,alem,A2
1595,armchair,koltuk,berjer,oturacak,A2
1596,impress,etkilemek,hayran bırakmak,aklında yer etmek,A2
1597,strongly,güçlü bir şekilde,şiddetle,kesinlikle,A2
1598,impossible,imkansız,olanaksız,güç,A2
1599,structure,yapı,bina,bünye,A2
1600,kit,takım,set,araç gereç,A2
1601,importantly,önemli bir şekilde,başlıca olarak,özellikle,A2
1602,wild,vahşi,doğal,yırtıcı,A2
1603,importance,önem,değer,üyelik,A2
1604,harmony,uyum,ahenk,mutabakat,A2
1605,harmful,zararlı,ziyanlı,kötü,A2
1606,harm,zarar,ziyan,incitmek,A2
1607,gallery,galeri,sergi salonu,balkon,A2
1608,society,toplum,cemiyet,dernek,A2
1609,anniversary,yıldönümü,yıl dönümü,evlilik yıldönümü,A2
1610,ankle,ayak bileği,bilek,aşık kemiği,A2
1611,further,daha ileri,öte,ayrıca,A2
1612,furniture,mobilya,eşya,ev eşyası,A2
1613,metal,metal,maden,metalik,A2
1614,meter/metre,metre,sayaç,ölçüm aleti,A2
1615,method,yöntem,metot,tarz,A2
1616,soap,sabun,sabunlamak,dizi,A2
1617,wet,ıslak,yaş,yağmurlu,A2
1618,function,fonksiyon,işlev,görev,A2
1619,midday,öğle vakti,gün ortası,öğle,A2
1620,wonder,merak etmek,harika,şaşmak,A2
1621,fully,tamamen,bütünüyle,eksiksiz,A2
1622,midnight,gece yarısı,geceyarısı,gece 12,A2
1623,talent,yetenek,kabiliyet,marifet,A2
1624,might,güç,kuvvet,-ebilmek,A2
1625,snowboarding,snowboard,kar tahtası,kar kaykayı,A2
1626,fry,kızartmak,tavada kızartmak,kızarmak,A2
1627,military,askeri,ordu,silahlı kuvvetler,A2
1628,million,milyon,milyonluk,pek çok,A2
1629,menu,menü,yemek listesi,içindekiler,A2
1630,angrily,öfkeyle,kızgın bir şekilde,sinirle,A2
1631,sock,çorap,kısa çorap,vurmak,A2
1632,tablespoon,yemek kaşığı,çorba kaşığı,kaşık,A2
1633,meaning,anlam,mana,önem,A2
1634,annoying,can sıkıcı,rahatsız edici,sinir bozucu,A2
1635,symbol,sembol,simge,işaret,A2
1636,software,yazılım,bilgisayar yazılımı,program,A2
1637,medal,madalya,nişan,ödül,A2
1638,gentle,nazik,kibar,yumuşak,A2
1639,medical,tıbbi,tıp,doktorluk,A2
1640,softly,yumuşakça,sessizce,hafifçe,A2
1641,soft drink,alkolsüz içecek,gazoz,meşrubat,A2
1642,soft,yumuşak,hafif,akıcı,A2
1643,symphony,senfoni,senfoni orkestrası,müzik eseri,A2
1644,generation,nesil,kuşak,üretim,A2
1645,annoy,rahatsız etmek,can sıkmak,sinirlendirmek,A2
1646,melon,kavun,kavun rengi,tatlı kavun,A2
1647,gender,cinsiyet,toplumsal cinsiyet,gramer cinsi,A2
1648,member,üye,mza,ferd,A2
1649,system,sistem,düzen,yöntem,A2
1650,gather,toplamak,bir araya gelmek,derlemek,A2
1651,soda,soda,maden suyu,gazoz,A2
1652,gate,kapı,çıkış kapısı,bahçe kapısı,A2
1653,table tennis,masa tenisi,pingpong,tenis masası oyunu,A2
1654,gas,gaz,benzin,gaz yağı,A2
1655,garlic,sarımsak,sarımsak dişi,akılsarımsak,A2
1656,bargain,pazarlık,ucuzluk,uygun fiyat,A2
1657,garage,garaj,otomobil parkı,tamirhane,A2
1658,mention,bahsetmek,değinmek,anmak,A2
1659,west,batı,batı yönü,garp,A2
1660,frightening,korkunç,ürkütücü,korkutucu,A2
1661,smooth,pürüzsüz,düz,akıcı,A2
1662,mix,karıştırmak,harmanlamak,karışım,A2
1663,wood,ahşap,odun,orman,A2
1664,ancestor,ata,cet,nüve,A2
1665,fork,çatal,yol ayrımı,çatallanmak,A2
1666,forever,sonsuza dek,daima,ebediyen,A2
1667,model,model,manken,örnek,A2
1668,forest,orman,koru,ağaçlık,A2
1669,basket,sepet,küfe,pot,A2
1670,modern,modern,çağdaş,güncel,A2
1671,wooden,ahşap,tahta,keresteden,A2
1672,force,güç,kuvvet,zorlamak,A2
1673,forbid,yasaklamak,men etmek,engellemek,A2
1674,batch,parti,grup,yığın,A2
1675,footballer,futbolcu,topçu,futbol oyuncusu,A2
1676,wool,yün,yün ipliği,koyun yünü,A2
1677,fool,salak,aptal,dalavere,A2
1678,well-known,tanınmış,ünlü,şöhretli,A2
1679,amusement,eğlence,ovuşturma,neşe,A2
1680,battery,pil,batarya,akümülatör,A2
1681,slowly,yavaşça,yavaş,ağır ağır,A2
1682,amused,eğlenmiş,neşeli,keyifli,A2
1683,task,görev,iş,vazife,A2
1684,mistake,hata,yanlış,kusur,A2
1685,smoothly,sorunsuzca,akıcı bir şekilde,düzgünce,A2
1686,fortunately,neyse ki,şans eseri,iyi ki,A2
1687,frightened,korkmuş,ürkmüş,dehşete düşmüş,A2
1688,frighten,korkutmak,ürkütmek,ödünü koparmak,A2
1689,friendship,arkadaşlık,dostluk,samimiyet,A2
1690,mineral water,maden suyu,mineral suyu,soda,A2
1691,fried,kızarmış,yağda pişmiş,tavada,A2
1692,fridge,buzdolabı,soğutucu,difriz,A2
1693,base,taban,üs,temel,A2
1694,fresh,taze,serin,yeni,A2
1695,angel,melek,hûri,iyi ruh,A2
1696,freeze,donmak,dondurmak,buz tutmak,A2
1697,freedom,özgürlük,serbestlik,hürriyet,A2
1698,mirror,ayna,refleks,gözgü,A2
1699,frank,açık sözlü,samimi,dürüst,A2
1700,tap,musluk,hafifçe vurmak,dinleme cihazı,A2
1701,frame,çerçeve,iskelet,kare,A2
1702,tram,tramvay,raylı taşıt,şehir içi tren,A2
1703,tape,bant,kaset,şerit,A2
1704,basic,temel,esas,basit,A2
1705,snack,atıştırmalık,hafif yemek,ara öğün,A2
1706,missing,eksik,kayıp,kayıp kişi,A2
1707,target,hedef,nişan,amacı,A2
1708,forward,ileri,önde,gelecek,A2
1709,basically,esasen,temelde,aslında,A2
1710,fortune,servet,talih,kısmet,A2
1711,barber,berber,kuaför,saç kesicisi,A2
1712,barbecue,mangal,barbekü,ızgara partisi,A2
1713,source,kaynak,köken,pınar,A2
1714,anywhere,herhangi bir yer,hiçbir yer,her yer,A2
1715,surfing,sörf,dalga sörfü,internet gezintisi,A2
1716,gun,silah,tabanca,tüfek,A2
1717,luckily,neyse ki,şans eseri,iyi ki,A2
1718,anyway,her neyse,zaten,nasılsa,A2
1719,lunchtime,öğle vakti,öğle molası,öğle yemeği saati,A2
1720,guidebook,rehber kitap,gezi rehberi,kılavuz kitap,A2
1721,sound,ses,kulak,gibi gelmek,A2
1722,lyric,şarkı sözü,lirik şiir,duygusal söz,A2
1723,surname,soyadı,aile adı,soy,A2
1724,badly,kötü,fena halde,şiddetle,A2
1725,guard,nöbetçi,koruma,muhafız,A2
1726,anymore,artık,bundan böyle,daha fazla,A2
1727,surprised,şaşırmış,şaşkın,hayrete düşmüş,A2
1728,surprising,şaşırtıcı,hayret verici,beklenmedik,A2
1729,badminton,badminton,tüytop,raket oyunu,A2
1730,mad,deli,öfkeli,çılgın,A2
1731,magic,büyü,sihir,fevkalade,A2
1732,grocery store,bakkal,market,gıda dükkanı,A2
1733,grilled,ızgara,közlenmiş,mangalda pişmiş,A2
1734,main course,ana yemek,esas yemek,baş yemek,A2
1735,bake,fırında pişirmek,ekmek pişirmek,kurabiye yapmak,A2
1736,while,iken,süre,zaman,A2
1737,low,alçak,düşük,az,A2
1738,lover,aşık,sevgili,meraklısı,A2
1739,apart,ayrı,parça parça,uzakta,A2
1740,local,yerel,yöresel,lokal,A2
1741,support,destek,yardım,dayanak,A2
1742,hardly,neredeyse hiç,güçlükle,zorla,A2
1743,lock,kilit,asma kilit,saç lülesi,A2
1744,happiness,mutluluk,saadet,sevinç,A2
1745,happily,mutlulukla,neşeyle,memnuniyetle,A2
1746,logical,mantıklı,tutarlı,akla uygun,A2
1747,apologize/apologise,özür dilemek,pişmanlık bildirmek,af istemek,A2
1748,loose,gevşek,bol,serbest,A2
1749,handle,kulp,tutamak,idare etmek,A2
1750,lose,kaybetmek,yitirmek,yenilmek,A2
1751,greedy,açgözlü,hırslı,doymaz,A2
1752,handicapped,engelli,sakat,dezavantajlı,A2
1753,handbag,el çantası,bayan çantası,cüzdan,A2
1754,ham,domuz pastırması,but,acemi oyuncu,A2
1755,half-price,yarı fiyatına,ucuzlamış,indirimli,A2
1756,background,arka plan,özgeçmiş,esas,A2
1757,loudly,yüksek sesle,gürültülü bir şekilde,bağırarak,A2
1758,south,güney,güney yönü,güneyli,A2
1759,apartment,daire,apartman,mesken,A2
1760,lost,kayıp,kaybolmuş,yitirilmiş,A2
1761,folder,dosya,klasör,katlayıcı,A2
1762,mainly,esasen,özellikle,çoğunlukla,A2
1763,major,başlıca,önemli,binbaşı,A2
1764,married,evli,nikahlı,eşli,A2
1765,marry,evlenmek,nikah kıymak,birleştirmek,A2
1766,golf,golf,golf oyunu,golf sopası,A2
1767,golden,altın,altından yapılmış,çok değerli,A2
1768,sweat,ter,terlemek,çalışıp çabalamak,A2
1769,marvelous/marvellous,harika,mükemmel,şaşırtıcı,A2
1770,sweater,kazak,süveter,hırka,A2
1771,someday,bir gün,ileride,gelecekte,A2
1772,somebody,biri,birisi,kimse,A2
1773,glove,eldiven,boks eldiveni,koruyucu örtü,A2
1774,solution,çözüm,solüsyon,eritme,A2
1775,sweetheart,sevgili,canım,yar,A2
1776,globe,küre,dünya,yerküre,A2
1777,material,malzeme,madde,kumaş,A2
1778,soldier,asker,er,nefer,A2
1779,banking,bankacılık,banka işleri,finans,A2
1780,max,maksimum,en çok,azami,A2
1781,swimming costume,mayo,bikin,yüzme giysisi,A2
1782,whatever,her ne,her neyse,ne olursa olsun,A2
1783,given,verilen,belli,göz önüne alındığında,A2
1784,swimsuit,mayo,bikin,yüzücü giysisi,A2
1785,wheelchair,tekerlekli sandalye,engelli arabası,hasta koltuğu,A2
1786,good-looking,yakışıklı,güzel,çekici,A2
1787,market,pazar,market,çarşı,A2
1788,mark,işaret,not,leke,A2
1789,survive,hayatta kalmak,yaşamak,atlatmak,A2
1790,anxious,endişeli,kaygılı,meraklı,A2
1791,grateful,minnettar,teşekkür borçlu,şükran dolu,A2
1792,maker,yapımcı,üretici,imalatçı,A2
1793,make-up,makyaj,yapı,uydurma,A2
1794,male,erkek,eril,zogsal,A2
1795,mall,alışveriş merkezi,pasaj,gezi yolu,A2
1796,granny,büyükanne,nine,anane,A2
1797,grandson,erkek torun,torun,oğul çocuğu,A2
1798,balcony,balkon,teras,salon balkonu,A2
1799,manage,yönetmek,idare etmek,başarmak,A2
1800,granddaughter,kız torun,torun,kız evlat çocuğu,A2
1801,greatly,çok,fazlasıyla,büyük ölçüde,A2
1802,granddad,dede,büyükbaba,büyük baba,A2
1803,manager,müdür,yönetici,menejer,A2
1804,gram/gramme,gram,g,ağırlık birimi,A2
1805,manner,tavır,tarz,biçim,A2
1806,graduate,mezun olmak,mezun,derece almak,A2
1807,gradually,giderek,aşamalı olarak,yavaş yavaş,A2
1808,somewhere,bir yer,bir yere,bir yerde,A2
1809,balloon,balon,uçan balon,şişme balon,A2
1810,grace,lütuf,zariflik,nezaket,A2
1811,within,içinde,zarfında,dahilinde,A2
1812,without,sız,siz,olmaksızın,A2
1813,government,hükümet,devlet,yönetim,A2
1814,swallow,yutmak,kırlangıç,yutkunmak,A2
1815,grandchild,torun,erkek torun,kız torun,A2
1816,shall,ecek,acak,zorunluluk,A2
1817,produce,üretmek,meydana getirmek,ürün,A2
1818,uncomfortable,rahatsız,konforsuz,huzursuz,A2
1819,cheque,çek,banka çeki,ödeme emri,A2
1820,roll,rulo,yuvarlanmak,ekmek,A2
1821,receptionist,resepsiyonist,danışma memuru,karşılama görevlisi,A2
1822,crown,taç,taçlandırmak,diş kaplaması,A2
1823,crowded,kalabalık,ıssız olmayan,mahşeri,A2
1824,crowd,kalabalık,mahşer,topluluk,A2
1825,chess,satranç,satranç oyunu,zeka oyunu,A2
1826,chest,göğüs,sandık,kasa,A2
1827,scissors,makas,kesici alet,berber makası,A2
1828,recently,son zamanlarda,yakınlarda,son günlerde,A2
1829,recent,son,yeni,yakın zamandaki,A2
1830,cross,haç,geçmek,kızgın,A2
1831,receive,almak,kabul etmek,karşılamak,A2
1832,criticize/criticise,eleştirmek,tenkit etmek,kusur bulmak,A2
1833,pour,dökmek,akıtmak,boşaltmak,A2
1834,receipt,fiş,makbuz,alım,A2
1835,abroad,yurtdışı,yurtdışında,yurtdışına,A2
1836,scientific,bilimsel,fenni,ilimle ilgili,A2
1837,cruise,gemi turu,seyir,tura çıkmak,A2
1838,scream,çığlık atmak,bağırmak,çığlık,A2
1839,robbery,soygun,hırsızlık,yağma,A2
1840,portrait,portre,tasvir,resim,A2
1841,cheek,yanak,kaba et,yüzsüzlük,A2
1842,robin,kızılgerdan,küçük kuş,avrupa kızılgerdanı,A2
1843,position,konum,pozisyon,durum,A2
1844,cheer,neşelendirmek,tezahürat,sevinç,A2
1845,rock,kaya,taş,rock müzik,A2
1846,chef,şef,aşçı,baş aşçı,A2
1847,cupboard,dolap,mutfak dolabı,büfe,A2
1848,chemical,kimyasal,kimya,kimyevi madde,A2
1849,possible,mümkün,olasi,muhtemel,A2
1850,uncertain,belirsiz,kesin olmayan,kararsız,A2
1851,possibly,muhtemelen,olası olarak,belki,A2
1852,act,davranmak,oynamak,eylem,A2
1853,post office,posta hane,pTT,posta merkezi,A2
1854,across,karşıda,boyunca,karşıdan karşıya,A2
1855,crisp,çıtır,cips,gevrektir,A2
1856,power,güç,kuvvet,enerji,A2
1857,powerful,güçlü,kuvvetli,etkili,A2
1858,cigarette,sigara,tütün,sarma,A2
1859,understand,anlamak,kavramak,idrak etmek,A2
1860,predict,tahmin etmek,öngörmek,önceden söylemek,A2
1861,prediction,tahmin,öngörü,kehanet,A2
1862,schedule,program,takvim,zaman çizelgesi,A2
1863,bra,sutyen,göğüslük,iç çamaşırı,A2
1864,underwater,su altı,su altında,su altındaki,A2
1865,court,mahkeme,kort,avlu,A2
1866,prefer,tercih etmek,yeğlemek,seçmek,A2
1867,couple,çift,iki,karı koca,A2
1868,scenery,manzara,tabiat,dekor,A2
1869,countryside,kırsal alan,taşra,köy,A2
1870,scene,sahne,olay yeri,manzara,A2
1871,country,ülke,memleket,taşra,A2
1872,citizen,vatandaş,şehirli,uyruk,A2
1873,reach,ulaşmak,erişmek,uzatmak,A2
1874,precise,kesin,tam,net,A2
1875,schoolchild,öğrenci,okul çocuğu,okul talebesi,A2
1876,crazy,çılgın,deli,kaçık,A2
1877,childhood,çocukluk,çocukluk dönemi,bebeklik,A2
1878,chili/chilli,biber,acı biber,şili,A2
1879,crime,suç,cürm,cinayet,A2
1880,cricket,kriket,cırcır böceği,çekirge,A2
1881,romance,romantizm,macera,aşk hikayesi,A2
1882,chimpanzee,şempanze,maymun,insansı maymun,A2
1883,chin,çene,çene ucu,muhabbet,A2
1884,schoolwork,okul ödevi,ders,okul çalışması,A2
1885,record,kayıt,plak,rekor,A2
1886,chirp,cıvıldamak,cıvıltı,ötmek,A2
1887,creature,yaratık,canlı,mahluk,A2
1888,choice,seçim,tercih,seçenek,A2
1889,creativity,yaratıcılık,üretkenlik,yaratma gücü,A2
1890,romantic,romantik,duygusal,hayalperest,A2
1891,creative,yaratıcı,özgün,üretken,A2
1892,create,yaratmak,oluşturmak,meydana getirmek,A2
1893,realize/realise,fark etmek,gerçekleştirmek,anlamak,A2
1894,roof,çatı,dam,örtü,A2
1895,credit,kredi,itibar,övgü,A2
1896,population,nüfus,ahal,popülasyon,A2
1897,curry,köri,baharat,köri sosu,A2
1898,curse,lanet,küfür,beddua,A2
1899,bored,sıkılmış,canı sıkkın,bıkmış,A2
1900,twice,iki kez,iki defa,iki kat,A2
1901,pleased,memnun,mutlu,hoşnut,A2
1902,chain,zincir,silsile,zincirleme,A2
1903,pleasing,hoş,sevindirici,tatlı,A2
1904,debate,tartışma,münazara,görüşme,A2
1905,death,ölüm,vefat,son,A2
1906,plenty,bolluk,çok,fazla,A2
1907,chairman,başkan,oturumu yöneten,müdür,A2
1908,deal,anlaşma,iş,dağıtmak,A2
1909,challenge,meydan okuma,zorluk,itiraz,A2
1910,refrigerator,buzdolabı,soğutucu,derin dondurucu,A2
1911,actually,aslında,gerçekten,fiilen,A2
1912,dead,ölü,cansız,vefat etmiş,A2
1913,boss,patron,amir,şef,A2
1914,seaside,deniz kenarı,sahil,kumsal,A2
1915,pleasant,hoş,keyifli,güzel,A2
1916,decide,karar vermek,kararlaştırmak,çözmek,A2
1917,certainly,kesinlikle,mutlaka,kuşkusuz,A2
1918,certain,kesin,belli,emin,A2
1919,pity,yazık,acınacak durum,merhamet,A2
1920,addition,ek,ilave,toplama,A2
1921,deeply,derinden,çok,koyuca,A2
1922,deep,derin,koyu,kapsamlı,A2
1923,tune,melodi,akort etmek,şarkı,A2
1924,planet,gezegen,seyyare,dünya,A2
1925,plural,çoğul,birden çok,çokluk,A2
1926,plant,bitki,fabrika,ekmek,A2
1927,center/centre,merkez,odak,orta,A2
1928,centimeter/centimetre,santimetre,cm,boy,A2
1929,plastic,plastik,suni,estetik,A2
1930,plate,tabak,plaka,levha,A2
1931,century,yüzyıl,asır,yüz yıl,A2
1932,cereal,tahıl,mısır gevreği,kahvaltılık,A2
1933,playful,oyuncu,şakacı,neşeli,A2
1934,playground,oyun parkı,oyun alanı,çocuk bahçesi,A2
1935,cent,sent,kuruş,para,A2
1936,count,saymak,hesaplamak,önemli olmak,A2
1937,champagne,şampanya,köpüklü şarap,açık sarı,A2
1938,plus,artı,üstelik,ilaveten,A2
1939,complain,şikayet etmek,yakınmak,sızlanmak,A2
1940,political,siyasi,politik,devletle ilgili,A2
1941,script,senaryo,metin,yazı,A2
1942,chart,çizelge,tablo,harita,A2
1943,recycle,geri dönüştürmek,yeniden değerlendirmek,tekrar kullanmak,A2
1944,roast,kızartmak,fırında pişirmek,et yemeği,A2
1945,pollute,kirletmek,zehirlemek,bozmak,A2
1946,rob,soymak,gaspetmek,çalmak,A2
1947,chat,sohbet etmek,çay muhabbeti,çene çalmak,A2
1948,screw,vida,vidalamak,cıvata,A2
1949,cheap,ucuz,kalitesiz,değersiz,A2
1950,customer,müşteri,alıcı,abone,A2
1951,custom,gelenek,adet,tore,A2
1952,verb,fiil,eylem,yuklem,A2
1953,popular,populer,gozde,sevilen,A2
1954,screen,ekran,perde,elek,A2
1955,polite,nazik,kibar,terbiyeli,A2
1956,daily,gunluk,hergun,gundelik,A2
1957,dam,baraj,bent,su bendi,A2
1958,search,aramak,arama,arastirma,A2
1959,championship,sampiyona,sampiyonluk,birincilik,A2
1960,chance,sans,firsat,olasilik,A2
1961,bother,zahmet,rahatsiz etmek,kasi,A2
1962,reflect,yansitmak,dusunmek,gostermek,A2
1963,seafood,deniz urunleri,balik,su mahsulleri,A2
1964,road,yol,cadde,patika,A2
1965,daylight,gunisigi,gunduz,aydinlik,A2
1966,dangerous,tehlikeli,riskli,korkunc,A2
1967,chapter,bolum,fasikul,konu,A2
1968,refer,atfetmek,kastetmek,yoneltmek,A2
1969,police,polis,kolluk,guvenlik,A2
1970,dancer,dansci,oyuncu,rakis,A2
1971,police officer,polis memuru,polis,kolluk kuvveti,A2
1972,police station,karakol,polis merkezi,polis istasyonu,A2
1973,policeman,polis memuru,polis,bekci,A2
1974,policewoman,kadin polis,kadin polis memuru,bayan polis,A2
1975,danger,tehlike,risk,tehdit,A2
1976,regret,pismanlik,uzuntu,pisman olmak,A2
1977,scarf,atkı,atki,esarp,A2
1978,prepare,hazirlamak,hazirlik yapmak,duzenlemek,A2
1979,quietly,sessizce,sakin bir sekilde,sessiz,A2
1980,promise,soz,vaat,soz vermek,A2
1981,ruin,yikinti,harabe,mahvetmek,A2
1982,pronounce,telaffuz etmek,soylemek,seslendirmek,A2
1983,pronunciation,telaffuz,soyleniş,okunus,A2
1984,confused,kafasi karisik,sasirmis,sersemlemis,A2
1985,confuse,kafasi karistirmak,sasirtmak,karistirmak,A2
1986,colorful/colourful,renkli,cazip,rengarenk,A2
1987,column,kolon,sutun,direk,A2
1988,proper,uygun,dokunarak,duzgun,A2
1989,quick,hizli,cabuk,suratli,A2
1990,comb,tarak,taramak,petek,A2
1991,unnecessary,gereksiz,luzumsuz,fazla,A2
1992,upstairs,ust kat,yukari,ust kata,A2
1993,account,hesap,cari,aciklama,A2
1994,confident,kendine guvenen,emin,guvenli,A2
1995,quit,birakmak,cikmak,istifa etmek,A2
1996,unpleasant,hos olmayan,nimsiz,can sıkıcı,A2
1997,wallet,cuzdan,para cantasi,deri cuzdan,A2
1998,salt,tuz,tuzlu,tuzlamak,A2
1999,product,urun,mahsul,netice,A2
