headword,CEFR
carelessness,B1
carpet,B1
carriage,B1
carton,B1
vowel,B1
cashpoint,B1
casual,B1
buddy,B1
viewpoint,B1
voyage,B1
categorize/categorise,B1
category,B1
video clip,B1
victory,B1
declare,B1
uplifted,B1
companion,B1
uncontrollable,B1
crop,B1
crossing,B1
crossroads,B1
crow,B1
cruel,B1
unclear,B1
crush,B1
wardrobe,B1
critical,B1
cucumber,B1
cultivate,B1
cultural,B1
unbelievable,B1
bow,B1
cure,B1
curiosity,B1
curious,B1
curiously,B1
curly,B1
uncertainty,B1
critic,B1
crisis,B1
uncover,B1
undo,B1
counter,B1
countless,B1
county,B1
courage,B1
courageous,B1
courgette,B1
bracelet,B1
underpants,B1
craft,B1
underneath,B1
crash,B1
boxing,B1
ward,B1
creator,B1
undergo,B1
underage,B1
criminal,B1
currency,B1
current,B1
currently,B1
curriculum,B1
typical,B1
dating,B1
warning,B1
warranty,B1
daze,B1
dazzle,B1
deadline,B1
deadly,B1
deaf,B1
dealer,B1
twist,B1
twin,B1
debris,B1
debt,B1
boredom,B1
bore,B1
decision,B1
turtle,B1
turning,B1
counseling/counselling,B1
darkness,B1
curtain,B1
curve,B1
cushion,B1
customs,B1
bound,B1
bounce,B1
CV,B1
unafraid,B1
cycle,B1
unable,B1
warmly,B1
daisy,B1
damage,B1
damaged,B1
damp,B1
warmth,B1
dangerously,B1
dare,B1
warn,B1
typically,B1
update,B1
council,B1
cotton,B1
conclusion,B1
conduct,B1
unrelated,B1
unpredictable,B1
unpack,B1
confidence,B1
confirm,B1
confirmation,B1
conflict,B1
conclude,B1
confusing,B1
congratulate,B1
connect,B1
connection/connexion,B1
conquer,B1
unlucky,B1
conscious,B1
consequently,B1
conservation,B1
conservative,B1
confusion,B1
concerned,B1
concept,B1
concentration,B1
comparison,B1
compete,B1
competitive,B1
competitor,B1
unwell,B1
complement,B1
completely,B1
unwanted,B1
complex,B1
unusually,B1
complicate,B1
complicated,B1
compliment,B1
compose,B1
composition,B1
compound,B1
compromise,B1
untidy,B1
bravely,B1
considerable,B1
unlikely,B1
consideration,B1
unless,B1
controversial,B1
uninterested,B1
brand-new,B1
unify,B1
unheard,B1
convey,B1
convince,B1
unfriendly,B1
unfortunate,B1
copyright,B1
brainstorming,B1
unfold,B1
unfit,B1
unfairly,B1
unexpectedly,B1
correction,B1
unexpected,B1
unemployment,B1
unemployed,B1
undress,B1
cough,B1
contribution,B1
contrary,B1
consonant,B1
constantly,B1
constitute,B1
constitution,B1
construct,B1
construction,B1
consume,B1
consumer,B1
consumption,B1
contain,B1
universe,B1
unite,B1
content,B1
brass,B1
continual,B1
continually,B1
continuous,B1
continuously,B1
unique,B1
union,B1
uninteresting,B1
contribute,B1
behalf,B1
retell,B1
terrorism,B1
gorilla,B1
gossip,B1
struggle,B1
govern,B1
stubborn,B1
governor,B1
gown,B1
gorgeous,B1
grab,B1
graceful,B1
studio,B1
suspicion,B1
impair,B1
graduation,B1
stuffed,B1
stuck,B1
stumble,B1
swarm,B1
impression,B1
glorious,B1
glory,B1
improper,B1
strip,B1
bang,B1
goalkeeper,B1
swear,B1
stripe,B1
goddess,B1
bandage,B1
impressive,B1
golfer,B1
goodness,B1
goods,B1
sweatshirt,B1
improvement,B1
stun,B1
whenever,B1
gravy,B1
balance,B1
bakery,B1
baker,B1
greenhouse,B1
baggage,B1
subconscious,B1
survival,B1
greeting,B1
grill,B1
surrounding,B1
illness,B1
surround,B1
groom,B1
surprisingly,B1
ground floor,B1
illuminate,B1
immigration,B1
grave,B1
imaginary,B1
bald,B1
grant,B1
immigrate,B1
graph,B1
stunning,B1
stupid,B1
graphic,B1
stylish,B1
immediately,B1
suspect,B1
graphics,B1
survivor,B1
wherever,B1
imitate,B1
astronomer,B1
gratitude,B1
immediate,B1
swell,B1
wildlife,B1
systematic,B1
gay,B1
stream,B1
gee,B1
gene,B1
general,B1
syndrome,B1
whale,B1
independent,B1
generally,B1
indefinite article,B1
generate,B1
generous,B1
sympathy,B1
strengthen,B1
genetic,B1
symptom,B1
genetically,B1
garment,B1
strawberry,B1
industrial,B1
wetland,B1
gain,B1
gall,B1
gallon,B1
strangely,B1
gardening,B1
indoors,B1
individual,B1
strategic,B1
gap,B1
barely,B1
indirectly,B1
indirect,B1
straw,B1
tablet,B1
genetics,B1
stress,B1
gentleman,B1
gifted,B1
stricken,B1
giggle,B1
ginger,B1
giraffe,B1
giant,B1
glance,B1
wildly,B1
swimmer,B1
bank account,B1
glide,B1
glimpse,B1
glint,B1
global,B1
stretch,B1
stressful,B1
stressed,B1
incredibly,B1
incredible,B1
increasingly,B1
incorrect,B1
inconvenient,B1
sword,B1
geographical,B1
geography,B1
geology,B1
swollen,B1
gesture,B1
bare,B1
switch,B1
income,B1
including,B1
incident,B1
illegally,B1
whether,B1
ignore,B1
humorous,B1
helmet,B1
humor/humour,B1
sunset,B1
humid,B1
helpless,B1
sunrise,B1
hunger,B1
auxiliary,B1
hesitate,B1
whistle,B1
humanity,B1
hidden,B1
suddenly,B1
authority,B1
herd,B1
highlight,B1
available,B1
height,B1
whisper,B1
attach,B1
heart attack,B1
superior,B1
hearted,B1
widespread,B1
avenue,B1
hearty,B1
hunt,B1
attachment,B1
heater,B1
heaven,B1
heavenly,B1
heel,B1
hurriedly,B1
suffer,B1
highly,B1
sundial,B1
horrible,B1
holy,B1
horn,B1
horizon,B1
homeless,B1
attraction,B1
attract,B1
summit,B1
summarize/summarise,B1
honest,B1
honestly,B1
hopefully,B1
hopeful,B1
honesty,B1
honeymoon,B1
hopeless,B1
horrify,B1
suicide,B1
sunbathe,B1
attain,B1
hip,B1
sufficient,B1
hire,B1
historian,B1
housework,B1
suffix,B1
historic,B1
historical,B1
household,B1
attend,B1
hostel,B1
HIV,B1
whoever,B1
hearing,B1
fuss,B1
atomic,B1
identity card,B1
identity,B1
habitat,B1
backpacking,B1
surely,B1
backpacker,B1
backpack,B1
gymnastics,B1
hairdresser,B1
backache,B1
hammer,B1
handball,B1
hand-held,B1
supposedly,B1
hairdryer,B1
handkerchief,B1
gym,B1
whichever,B1
grouping,B1
growth,B1
guarantee,B1
guidance,B1
idol,B1
submarine,B1
idiom,B1
surgery,B1
guilt,B1
guilty,B1
bacon,B1
guitarist,B1
surgeon,B1
surface,B1
guide,B1
suppose,B1
supportive,B1
hasty,B1
awkward,B1
hatch,B1
atmosphere,B1
hatred,B1
haunt,B1
Atlantic,B1
awesome,B1
superstition,B1
hazard,B1
awareness,B1
headline,B1
hut,B1
heal,B1
healing,B1
haven,B1
harness,B1
ice hockey,B1
supply,B1
handshake,B1
babysitter,B1
handwriting,B1
handy,B1
supporter,B1
hang,B1
athletic,B1
hanging,B1
babysit,B1
harbor/harbour,B1
substantial,B1
substitute,B1
hardship,B1
hard-working,B1
ice skating,B1
aware,B1
furthest,B1
hop,B1
institute,B1
film-maker,B1
stick,B1
forth,B1
initially,B1
filter,B1
firework,B1
formula,B1
beast,B1
fortnight,B1
sticker,B1
tasteless,B1
finance,B1
inject,B1
flock,B1
former,B1
sticky,B1
tasty,B1
financial,B1
tendency,B1
finding,B1
taste,B1
inquiry/enquiry,B1
fortunate,B1
informative,B1
teen,B1
inscribe,B1
firmly,B1
fire station,B1
technique,B1
ingredient,B1
tank,B1
insane,B1
firm,B1
because of,B1
inhabitant,B1
inhale,B1
instructor,B1
fragment,B1
basement,B1
assistance,B1
filling,B1
instruction,B1
fountain,B1
foundation,B1
initial,B1
format,B1
beaver,B1
formally,B1
tend,B1
beautifully,B1
bathe,B1
flu,B1
tempt,B1
inspection,B1
industry,B1
foolish,B1
tease,B1
fondness,B1
fluent,B1
fond,B1
teaching,B1
battle,B1
teammate,B1
folk,B1
fluently,B1
fold,B1
temporary,B1
well-dressed,B1
teamwork,B1
flute,B1
innocent,B1
flavor/flavour,B1
foot,B1
forbidden,B1
formal,B1
injury,B1
ink,B1
instead of,B1
basin,B1
firefighter,B1
forgive,B1
basis,B1
innovator,B1
instance,B1
finger,B1
install/instal,B1
stir,B1
inspire,B1
flow,B1
forehead,B1
assignment,B1
forecast,B1
innermost,B1
tax,B1
technological,B1
freely,B1
assist,B1
fund,B1
takeaway,B1
assume,B1
first lady,B1
takeoff/take-off,B1
westward,B1
tale,B1
fellow,B1
inscription,B1
full-time,B1
intensive,B1
intense,B1
full stop,B1
barman,B1
fuel,B1
ferry,B1
terminal,B1
telecommunications,B1
frustration,B1
festive,B1
first floor,B1
frustrated,B1
funeral,B1
infection,B1
assign,B1
interaction,B1
furthermore,B1
favorable/favourable,B1
fax,B1
furnish,B1
interact,B1
teller,B1
intentionally,B1
terribly,B1
terror,B1
first-floor,B1
intention,B1
fur,B1
feast,B1
bark,B1
strain,B1
temper,B1
terrified,B1
terrific,B1
inevitable,B1
beard,B1
frying pan,B1
beat,B1
stormy,B1
fetch,B1
flash,B1
talkative,B1
friendliness,B1
associate,B1
fifth,B1
storage,B1
telegram,B1
freshman,B1
bedside,B1
frequently,B1
frequent,B1
frequency,B1
inform,B1
freezing,B1
insurance,B1
freezer,B1
tense,B1
storyteller,B1
fright,B1
tension,B1
term,B1
feverishly,B1
talented,B1
infinitive,B1
frozen,B1
frost,B1
tent,B1
fitness,B1
insight,B1
flunk,B1
barrel,B1
intend,B1
insist,B1
widow,B2
unstoppable,B2
untreated,B2
statesman,B2
untie,B2
unsure,B2
untalented,B2
unsuccessful,B2
statewide,B2
sage,B2
unthinkably,B2
subtle,B2
visibly,B2
sag,B2
stimulate,B2
untrimmed,B2
unsuitable,B2
unto,B2
unselfish,B2
revival,B2
stimulant,B2
subtitle,B2
sail,B2
stepmother,B2
sandstone,B2
suffering,B2
stereotype,B2
unkind,B2
vitamin,B2
sue,B2
salty,B2
stern,B2
suck,B2
vomit,B2
unlimited,B2
vital,B2
unload,B2
retrieve,B2
sufficiently,B2
vocalist,B2
retirement,B2
steering wheel,B2
steer,B2
stepfather,B2
steely,B2
spin,B2
sanitation,B2
sanitary,B2
universal,B2
retreat,B2
widen,B2
unjustly,B2
united,B2
salsa,B2
unlock,B2
salon,B2
unpopular,B2
salary,B2
statistics,B2
unrealistic,B2
unreasonable,B2
splatter,B2
reverse,B2
unreliable,B2
unrest,B2
suburb,B2
subtract,B2
unsafe,B2
zoom,B2
winding,B2
voter,B2
unofficial,B2
stiff,B2
successive,B2
saleswoman,B2
stew,B2
salesperson,B2
revelation,B2
unmistakable,B2
revenge,B2
salesmanship,B2
revenue,B2
unmistakably,B2
unnatural,B2
spite,B2
reverence,B2
unsatisfactory,B2
revive,B2
violate,B2
starving,B2
stride,B2
stopwatch,B2
rim,B2
vibration,B2
strictly,B2
vibrate,B2
valentine,B2
vaccine,B2
veteran,B2
valid,B2
stammer,B2
youthful,B2
squad,B2
satisfactory,B2
squash,B2
rip,B2
squeeze,B2
rosy,B2
striking,B2
utilize/utilise,B2
rider,B2
walkabout,B2
wilderness,B2
utter,B2
ridge,B2
utterly,B2
rightly,B2
stroke,B2
stonework,B2
righteousness,B2
stool,B2
wink,B2
stopover,B2
wage,B2
vacant,B2
strive,B2
walker,B2
vanish,B2
waist,B2
roam,B2
straighten,B2
straightforward,B2
rocky,B2
roar,B2
rocket,B2
verse,B2
strangle,B2
strait,B2
venture,B2
venue,B2
verbal,B2
stagger,B2
stain,B2
strand,B2
verbally,B2
stab,B2
waistcoat,B2
stake,B2
yummy,B2
stability,B2
vanity,B2
risky,B2
variation,B2
stack,B2
version,B2
zebra,B2
rite,B2
ritual,B2
windshield,B2
versus,B2
rival,B2
varied,B2
route,B2
zip,B2
utility,B2
unwise,B2
unworldly,B2
upbringing,B2
startle,B2
stingy,B2
rural,B2
unwilling,B2
stink,B2
subjunctive,B2
upgrade,B2
rhinoceros,B2
rhyme,B2
subdivision,B2
width,B2
vinegar,B2
subculture,B2
wipe,B2
subcontinent,B2
submit,B2
spokesman,B2
starve,B2
stimulation,B2
sack,B2
unusualness,B2
revolutionary,B2
rusty,B2
revolutionize/revolutionise,B2
starvation,B2
rush hour,B2
spokeswoman,B2
substance,B2
vow,B2
virtue,B2
virtually,B2
subside,B2
virtual reality,B2
subplot,B2
revolve,B2
stitch,B2
villager,B2
upright,B2
rug,B2
spreadsheet,B2
viewer,B2
wallboard,B2
rubble,B2
sprint,B2
stockpile,B2
urgently,B2
rub,B2
royalty,B2
spur,B2
stubbornly,B2
user,B2
usher,B2
stock market,B2
stock,B2
upside down,B2
stanza,B2
rhythmic,B2
rib,B2
stylist,B2
villa,B2
standstill,B2
standby,B2
vigorously,B2
spray,B2
vigorous,B2
ruinous,B2
urban,B2
vigor/vigour,B2
walnut,B2
revolution,B2
roommate,B2
seasonal,B2
spellbound,B2
short-term,B2
shortness,B2
well-paid,B2
sniff,B2
snore,B2
weakly,B2
snowball,B2
weaken,B2
western,B2
shoplifting,B2
shoplifter,B2
shoplift,B2
shopkeeper,B2
torch,B2
shooting,B2
soak,B2
soaked,B2
soaking,B2
tortoiseshell,B2
torture,B2
soar,B2
sob,B2
well-organized/well-organised,B2
ton,B2
tomb,B2
tiredness,B2
smokestack,B2
wondrous,B2
tiresome,B2
shrug,B2
shrink,B2
willingly,B2
tanned,B2
snap,B2
so-called,B2
toenail,B2
toil,B2
showbiz,B2
tan,B2
sneak,B2
worthless,B2
tame,B2
tolerant,B2
tolerate,B2
toll,B2
sneer,B2
wealthy,B2
showcase,B2
tiptoe,B2
tail,B2
shipping,B2
trainer,B2
sympathize/sympathise,B2
sympathetic,B2
softness,B2
trait,B2
traitor,B2
tramp,B2
trample,B2
shaky,B2
Shakespearean,B2
symbolic,B2
shaken,B2
syllable,B2
transcript,B2
transfusion,B2
transient,B2
transistor,B2
transition,B2
wreck,B2
transitive,B2
trainee,B2
trailer,B2
synonym,B2
tag,B2
tactile,B2
sociable,B2
tackle,B2
shield,B2
tough,B2
waterproof,B2
socialize/socialise,B2
tack,B2
shipwreck,B2
shed,B2
toxic,B2
retina,B2
shatter,B2
sharply,B2
trader,B2
tablecloth,B2
tabloid,B2
shabby,B2
slash,B2
therapist,B2
sister-in-law,B2
therapy,B2
thereafter,B2
slaughter,B2
thermometer,B2
tender,B2
thesis,B2
thickly,B2
thickness,B2
thigh,B2
worktable,B2
weed,B2
thinker,B2
third person,B2
thirdly,B2
temptation,B2
worrying,B2
sincerity,B2
sincere,B2
temporarily,B2
slap,B2
tenderly,B2
tenderness,B2
theorist,B2
skillful/skilful,B2
testify,B2
sketch,B2
testimony,B2
worm,B2
territory,B2
skillfully/skilfully,B2
skim,B2
terrifying,B2
thoroughly,B2
skip,B2
terrace,B2
skateboard,B2
worldview,B2
worldly,B2
wornout/worn out/worn-out,B2
skylark,B2
skyward,B2
slam,B2
theme,B2
slang,B2
skateboarder,B2
woodcarving,B2
workman,B2
well-built,B2
signify,B2
significantly,B2
sloppy,B2
workbench,B2
workaholic,B2
tightrope,B2
wordlessly,B2
worsen,B2
weary,B2
worship,B2
timeless,B2
smash,B2
wearisome,B2
timeliness,B2
times,B2
timing,B2
taunt,B2
tattoo,B2
tatter,B2
sliver,B2
tickle,B2
teaspoon,B2
thoughtful,B2
thoughtless,B2
thread,B2
temperate,B2
threaten,B2
thrill,B2
thrilled,B2
simultaneous,B2
wed,B2
thrilling,B2
welfare,B2
simplification,B2
weave,B2
telescope,B2
silverware,B2
well-balanced,B2
technically,B2
technical,B2
throat,B2
swing,B2
translation,B2
sexy,B2
supervise,B2
unaware,B2
span,B2
spare,B2
whiskey/whisky,B2
unbearable,B2
scramble,B2
supernatural,B2
unbeatable,B2
sparerib,B2
spark,B2
sparkling,B2
sparrow,B2
unchanged,B2
uncharacteristic,B2
unclearly,B2
scooter,B2
uncomfortably,B2
uncommon,B2
superintendent,B2
unconcerned,B2
supervision,B2
supervisor,B2
unavailable,B2
southward,B2
skilled,B2
withdraw,B2
typhoid,B2
tyranny,B2
tyrant,B2
seal,B2
scythe,B2
ultimate,B2
Soviet,B2
scientifically,B2
ultimately,B2
supplier,B2
whip,B2
spa,B2
scuba,B2
supplement,B2
scrooge,B2
unacceptable,B2
unashamedly,B2
scribble,B2
unattractive,B2
unauthorized/unauthorised,B2
soybean,B2
twisted,B2
unconscious,B2
superb,B2
scarcely,B2
unenthusiastic,B2
uneven,B2
scar,B2
scandal,B2
specify,B2
unfamiliar,B2
yield,B2
unfashionable,B2
spectacle,B2
unforeseen,B2
saving/savings,B2
ungodly,B2
unhappiness,B2
unhelpful,B2
unimaginable,B2
unimaginably,B2
speeder,B2
sulfur/sulphur,B2
uneasily,B2
unease,B2
undressed,B2
undreamed,B2
underestimate,B2
undergraduate,B2
underground,B2
schoolgirl,B2
scholasticism,B2
undersea,B2
understandable,B2
scheme,B2
understanding,B2
wit,B2
scheduled,B2
undertake,B2
scent,B2
specialty,B2
species,B2
underwear,B2
scarlet,B2
sunbeam,B2
undoubtedly,B2
specifically,B2
twinkle,B2
suppress,B2
tutor,B2
serial,B2
swan,B2
serene,B2
separately,B2
trial,B2
sensitive,B2
sustain,B2
sensible,B2
triangle,B2
tribe,B2
suspiciously,B2
suspicious,B2
somewhat,B2
tricky,B2
senator,B2
seminar,B2
suspend,B2
withdrawal,B2
tremor,B2
tremendously,B2
servant,B2
trek,B2
translator,B2
transmission,B2
transmit,B2
sexual,B2
sexism,B2
transparent,B2
solar,B2
wheat,B2
swift,B2
solidity,B2
trio,B2
traverse,B2
wolf,B2
soliloquy,B2
tread,B2
solo,B2
sweep,B2
solvent,B2
witty,B2
setback,B2
wasp,B2
treaty,B2
tray,B2
son-in-law,B2
trusty,B2
sector,B2
yawn,B2
truthful,B2
truthfulness,B2
tub,B2
warship,B2
tuberculosis,B2
soundtrack,B2
surrender,B2
secondly,B2
secondary,B2
tug,B2
tuition,B2
tulip,B2
second person,B2
yearn,B2
tumor/tumour,B2
tunnel,B2
turbulent,B2
surge,B2
suitably,B2
surroundings,B2
semi-final,B2
semicolon,B2
sonnet,B2
trivial,B2
seller,B2
trolley,B2
troop,B2
whereas,B2
trophy,B2
tropic,B2
selfless,B2
trunk,B2
self-confident,B2
wrongly,B2
X-ray,B2
seldom,B2
sophisticated,B2
troublesome,B2
segment,B2
seesaw,B2
wartime,B2
yacht,B2
surveillance,B2
self-confidence,B2
willing,B2
penalty,B2
retailer,B2
disorderly,B2
disorganized/disorganised,B2
dispensable,B2
displace,B2
displeasure,B2
disposal,B2
disposition,B2
dispute,B2
disqualify,B2
disregard,B2
disrupt,B2
dissatisfaction,B2
disorder,B2
dissatisfied,B2
distinguished,B2
distortion,B2
distract,B2
distraction,B2
distressing,B2
distributor,B2
diversion,B2
divert,B2
divided,B2
division,B2
divorce,B2
DNA,B2
dissident,B2
dismiss,B2
disillusion,B2
dishonesty,B2
devil,B2
devote,B2
devoted,B2
diarrhea/diarrhoea,B2
dictator,B2
digest,B2
dignify,B2
dignity,B2
dilemma,B2
dim,B2
dime,B2
dimension,B2
dip,B2
diphtheria,B2
diploma,B2
diplomat,B2
disappearance,B2
disapproval,B2
disapprove,B2
discharge,B2
disciple,B2
discipline,B2
disconnect,B2
discredit,B2
discriminate,B2
disgrace,B2
disguise,B2
dock,B2
domestic,B2
dominate,B2
donate,B2
duplicate,B2
duplication,B2
dwarf,B2
dye,B2
dynamic,B2
eagerly,B2
eagle,B2
earnings,B2
ease,B2
eastward,B2
ecologically,B2
ecologist,B2
economical,B2
economist,B2
ecstatic,B2
edit,B2
editorial,B2
educated,B2
educator,B2
effectively,B2
effectiveness,B2
elect,B2
elective,B2
electrician,B2
electronically,B2
elegance,B2
elegant,B2
dumb,B2
developing,B2
duel,B2
dropout,B2
donation,B2
donkey,B2
doom,B2
doorkeeper,B2
doorway,B2
dorm,B2
dormitory,B2
dose,B2
doubly,B2
doubtful,B2
dove,B2
downfall,B2
downsize,B2
dowry,B2
draft/draught,B2
drain,B2
dramatically,B2
drapery,B2
dread,B2
dreadful,B2
dreamy,B2
drinkable,B2
droop,B2
drought,B2
elegantly,B2
determiner,B2
detect,B2
crucial,B2
cruelly,B2
cruelty,B2
crystallize/crystallise,B2
cube,B2
cubism,B2
cuff,B2
culmination,B2
culturally,B2
curl,B2
crossly,B2
cursor,B2
cybercafe/cybercafé,B2
cybercrime,B2
cyberpet,B2
cyberschool,B2
cyberspace,B2
cyclist,B2
daft,B2
damn,B2
dandelion,B2
darling,B2
dash,B2
data,B2
cyberaddict,B2
crocodile,B2
criticism,B2
critically,B2
corrupt,B2
corruption,B2
costly,B2
costume,B2
cottage,B2
countryman,B2
countrywide,B2
courtesy,B2
coward,B2
cowardly,B2
coziness/cosiness,B2
cozy/cosy,B2
crab,B2
crack,B2
craftsman,B2
crater,B2
crawl,B2
crease,B2
creation,B2
creatively,B2
creek,B2
creepy,B2
crew,B2
cripple,B2
database,B2
dated,B2
daughter-in-law,B2
dawn,B2
deliberately,B2
delicacy,B2
delicately,B2
demanding,B2
demolish,B2
denim,B2
dense,B2
densely,B2
dental,B2
dependable,B2
deputy,B2
descend,B2
descriptive,B2
desirable,B2
desktop,B2
desolation,B2
desperately,B2
desperation,B2
despise,B2
destiny,B2
detach,B2
detachment,B2
detailed,B2
deliberate,B2
determined,B2
delegate,B2
defy,B2
daytime,B2
de facto,B2
dearly,B2
debit,B2
debit card,B2
decade,B2
decay,B2
deceive,B2
decent,B2
deceptive,B2
decisive,B2
deck,B2
decomposition,B2
decorate,B2
decoration,B2
decorative,B2
dedication,B2
deduce,B2
deduction,B2
deem,B2
deer,B2
deficit,B2
deforestation,B2
dehumanize/dehumanise,B2
elemental,B2
eligible,B2
elite,B2
fixed,B2
flame,B2
flap,B2
flaw,B2
flawless,B2
flax,B2
flee,B2
fleet,B2
flesh,B2
flexibility,B2
flexible,B2
flip,B2
fluency,B2
fluid,B2
flutter,B2
follower,B2
folly,B2
fondly,B2
foolishly,B2
footnote,B2
flexibly,B2
fiscal,B2
firstly,B2
first person,B2
fearsome,B2
feat,B2
fed up,B2
federal,B2
feedback,B2
ferryboat,B2
fiber/fibre,B2
fictional,B2
fierce,B2
fighting,B2
figurative,B2
filial,B2
financially,B2
finely,B2
fingernail,B2
fire brigade,B2
firearm,B2
fireplace,B2
firmness,B2
first language,B2
forcefully,B2
foreman,B2
foresee,B2
forestry,B2
gangster,B2
gardener,B2
gasp,B2
gateway,B2
gaudy,B2
gaze,B2
gear,B2
generalization/generalisation,B2
generalize/generalise,B2
generosity,B2
generously,B2
genius,B2
genre,B2
gently,B2
genuine,B2
genuinely,B2
geographic,B2
germ,B2
getaway,B2
ghetto,B2
giveaway,B2
glacis,B2
glamorous/glamourous,B2
glare,B2
gleam,B2
glee,B2
global warming,B2
gang,B2
gambling,B2
furor/furore,B2
formation,B2
formerly,B2
formidable,B2
forthcoming,B2
foul,B2
found,B2
fox,B2
fragrance,B2
frankly,B2
frantically,B2
fraud,B2
freak,B2
friendly,B2
frigate,B2
frontier,B2
frugal,B2
fulfill/fulfil,B2
fume,B2
functional,B2
functionality,B2
fundamental,B2
funk,B2
funky,B2
furious,B2
furiously,B2
gaiety,B2
faulty,B2
father-in-law,B2
fate,B2
equation,B2
equip,B2
equity,B2
erect,B2
erupt,B2
eruption,B2
essayist,B2
essentially,B2
estate,B2
estimated,B2
eternally,B2
ethic,B2
ethnic,B2
evacuate,B2
evacuation,B2
evaluate,B2
evaluation,B2
everlasting,B2
evidently,B2
evil,B2
evolution,B2
evolve,B2
exactness,B2
exaggerate,B2
exaggeration,B2
exalt,B2
examinee,B2
environmentally,B2
eloquence,B2
eloquent,B2
embassy,B2
embrace,B2
emergence,B2
emphatically,B2
employ,B2
employee,B2
employer,B2
endeavor/endeavour,B2
endlessly,B2
endorse,B2
endurance,B2
enduring,B2
energy,B2
enforce,B2
engagement,B2
engulf,B2
enhance,B2
enroll/enrol,B2
enterprise,B2
entertaining,B2
enthusiastically,B2
entitle,B2
entrepreneur,B2
environment,B2
environmentally friendly,B2
corridor,B2
exceed,B2
exception,B2
exquisite,B2
extension,B2
extensive,B2
external,B2
extract,B2
extraordinarily,B2
exultant,B2
eyebrow,B2
eyelash,B2
eyelid,B2
fabric,B2
fabulous,B2
facilitate,B2
facilities,B2
factor,B2
faculty,B2
faith,B2
falter,B2
fame,B2
familiarize/familiarise,B2
fantastically,B2
fascinated,B2
fascination,B2
fatal,B2
expressive,B2
excel,B2
export,B2
explorer,B2
exceptional,B2
exceptionally,B2
excessive,B2
exclaim,B2
exclamation mark,B2
exclude,B2
exclusion,B2
exclusively,B2
excursion,B2
execute,B2
execution,B2
executive,B2
exhaust,B2
exhausting,B2
exhaustion,B2
exhibit,B2
exile,B2
existing,B2
exotic,B2
expansion,B2
expectation,B2
expected,B2
expedition,B2
explode,B2
exploit,B2
explosive,B2
corresponding,B2
correspondent,B2
correspondence,B2
backup,B2
backward/backwards,B2
backyard,B2
badge,B2
bad-tempered,B2
balanced,B2
balky,B2
ballad,B2
ballet,B2
ballot,B2
ban,B2
axis,B2
banker,B2
bankruptcy,B2
barbershop,B2
barley,B2
barn,B2
barometer,B2
barren,B2
barrier,B2
bartender,B2
bathhouse,B2
bankrupt,B2
ax/axe,B2
awe,B2
await,B2
assert,B2
assess,B2
assessment,B2
assumption,B2
assurance,B2
assure,B2
astonish,B2
astonished,B2
astonishing,B2
astonishment,B2
astronomy,B2
athletics,B2
attached,B2
attainable,B2
attainment,B2
attendance,B2
attentive,B2
attentively,B2
attractiveness,B2
attribute,B2
atypical,B2
aubergine,B2
audit,B2
audition,B2
authoritative,B2
authorize/authorise,B2
availability,B2
battlefield,B2
beagle,B2
beak,B2
beam,B2
blindly,B2
blindness,B2
blink,B2
bloodstream,B2
bloody,B2
blooming,B2
blossom,B2
blur,B2
blurt,B2
boiling,B2
bolt,B2
bombard,B2
bomber,B2
bombing,B2
bony,B2
bookish,B2
booklet,B2
bookmark,B2
boost,B2
booth,B2
bossy,B2
botany,B2
bothered,B2
bothersome,B2
blaze,B2
assembly,B2
blast,B2
bizarre,B2
bearing,B2
beautify,B2
bellow,B2
belongings,B2
beneficial,B2
benevolence,B2
benevolent,B2
berry,B2
bestow,B2
bestseller,B2
betray,B2
bewilder,B2
bewilderment,B2
bid,B2
bidding,B2
bikini,B2
billion,B2
bind,B2
bio,B2
biological,B2
biotechnology,B2
birdcage,B2
birthplace,B2
bitterly,B2
blade,B2
assemble,B2
assault,B2
aspire,B2
admirable,B2
admiringly,B2
admittedly,B2
adopted,B2
adoption,B2
adore,B2
adorn,B2
advancement,B2
advent,B2
adventurous,B2
adverse,B2
adversely,B2
adversity,B2
affectionate,B2
affectionately,B2
affordable,B2
ageless,B2
aggressively,B2
agonize/agonise,B2
agony,B2
aircraft,B2
aircrew,B2
alcoholism,B2
alert,B2
administrative,B2
allegation,B2
adjustment,B2
adequate,B2
retard,B2
abandoned,B2
abnormally,B2
abolish,B2
aboriginal,B2
abruptly,B2
absentee,B2
absurd,B2
abuse,B2
accessibility,B2
accommodation,B2
accordingly,B2
accumulate,B2
accusation,B2
achievable,B2
acid,B2
acquisition,B2
actively,B2
actual,B2
acute,B2
adaptable,B2
addict,B2
addicted,B2
addiction,B2
additionally,B2
adequately,B2
alliance,B2
alongside,B2
anticipate,B2
anticipation,B2
antipollution,B2
antistatic,B2
antivirus,B2
apostrophe,B2
applicant,B2
appreciative,B2
appropriately,B2
approximate,B2
arch,B2
archaeologist/archeologist,B2
arctic,B2
arena,B2
aristocracy,B2
armful,B2
arouse,B2
arrogant,B2
artery,B2
articulate,B2
artificially,B2
artistry,B2
ash,B2
aspiration,B2
anticancer,B2
ally,B2
antibacterial,B2
anonymous,B2
alphabetical,B2
altar,B2
alter,B2
alternate,B2
alternatively,B2
altitude,B2
aluminum/aluminium,B2
amaze,B2
amazement,B2
amazingly,B2
ambassador,B2
ambiguity,B2
ambiguous,B2
