id,word,meaning1,meaning2,meaning3,level
558,purple,mor,erguvan rengi,mor renkli,A1
559,'s,aitlik eki,sahiplik bildirimi,ek,A1
560,sad,"üzgün, kederli","hüzünlü, acıklı","üzücü, kötü",A1
561,sailor,denizci,tayfa,gemici,A1
562,salad,salata,yeşillik,salatalık malzeme,A1
563,sale,satış,"indirim, ucuzluk",pazarlama,A1
564,same,aynı,farksız,"tıpkı, eş",A1
565,program/programme,program,izlence,programlamak,A1
566,sandwich,sandviç,ekmek arası,sıkıştırmak,A1
567,rainy,yağmurlu,yağışlı,kasvetli,A1
568,problem,"sorun, problem",mesele,"sıkıntı, dert",A1
569,rat,"sıçan, büyük fare",hain,kalleş,A1
570,'re,olmak fiili eki,sizsiniz,biziz,A1
571,result,"sonuç, netice",kaynaklanmak,sonuçlanmak,A1
572,restaurant,restoran,lokanta,yemek salonu,A1
573,review,"inceleme, eleştiri",gözden geçirmek,değerlendirme,A1
574,reporter,muhabir,gazeteci,haberci,A1
575,repeat,tekrar etmek,yinelemek,"tekrar, yineleme",A1
576,remember,hatırlamak,anımsamak,akılda tutmak,A1
577,ribbon,"kurdele, şerit",bağ,şerit bant,A1
578,rice,pirinç,pilav,çeltik,A1
579,rich,zengin,"verimli, bereketli",zengin içerikli,A1
580,ride,binmek,"gezi, sürüş",sürmek,A1
581,right,"sağ, sağ taraf","doğru, haklı","hak, özgürlük",A1
582,ring,yüzük,çalmak,"halka, çember",A1
583,river,"nehir, ırmak",akarsu,"çay, dere",A1
584,red,"kırmızı, al",kızıl,kızarmış,A1
585,role,rol,"görev, işlev",konum,A1
586,reason,"neden, sebep","akıl, mantık",mantık yürütmek,A1
587,really,gerçekten,hakikaten,"aslında, gerçekte",A1
588,room,oda,alan,yer,A1
589,real,"gerçek, hakiki","asıl, öz",somut,A1
590,ready,hazır,istekli,hazırlamak,A1
591,reading,okuma,okuma parçası,okuma eylemi,A1
592,reader,okuyucu,okur,okuma kitabı,A1
593,read,okumak,anlamak,yorumlamak,A1
594,rose,gül,pembe renk,gül ağacı,A1
595,princess,prenses,kraliyet kızı,şehzade kızı,A1
596,prince,prens,şehzade,kraliyet oğlu,A1
597,Saturday,cumartesi,cumartesi günü,cumartesileri,A1
598,play,oynamak,oyun,çalmak,A1
599,plane,uçak,düzlem,rende,A1
600,plan,plan,planlamak,tasarlamak,A1
601,place,yer,mekan,konum,A1
602,pizza,pizza,hamur işi,italyan çöreği,A1
603,pink,pembe,pembe renk,açık kırmızı,A1
604,pig,domuz,domuz eti,obur kimse,A1
605,piece,parça,tane,kısım,A1
606,section,bölüm,kısım,kesit,A1
607,picture,resim,fotoğraf,tablo,A1
608,picnic,piknik,kır yemeği,mesire,A1
609,pick,seçmek,toplamak,koparmak,A1
610,piano,piyano,tuşlu çalgı,piyano sesi,A1
611,see,görmek,anlamak,izlemek,A1
612,photo,fotoğraf,resim,poz,A1
613,phone,telefon,telefon etmek,ahize,A1
614,pet,evcil hayvan,sevmek,okşamak,A1
615,self,kendi,öz,benlik,A1
616,personal,kişisel,şahsi,özel,A1
617,person,kişi,insan,şahıs,A1
618,sell,satmak,satılmak,pazarlamak,A1
619,period,dönem,süre,nokta,A1
620,people,insanlar,halk,millet,A1
621,player,oyuncu,çalgıcı,oynatıcı,A1
622,second,ikinci,saniye,an,A1
623,please,lütfen,memnun etmek,sevindirmek,A1
624,pleasure,zevk,keyif,memnuniyet,A1
625,save,kurtarmak,biriktirmek,kaydetmek,A1
626,price,fiyat,bedel,ücret,A1
627,saw,testere,testereyle kesmek,gördü,A1
628,pretty,sevimli,güzel,oldukça,A1
629,say,söylemek,demek,belirtmek,A1
630,present,hediye,şuan ki,sunmak,A1
631,school,okul,ekol,okutmak,A1
632,pray,dua etmek,yalvarmak,ibadet etmek,A1
633,practice/practise,pratik yapmak,alıştırma yapmak,uygulamak,A1
634,practice,uygulama,pratik,alıştırma,A1
635,science,bilim,ilim,fen,A1
636,name,isim,ad,adlandırmak,A1
637,scientist,bilim insanı,bilimci,bilgin,A1
638,poster,afiş,poster,ilan,A1
639,post,posta,göndermek,direk,A1
640,pop,pop müziği,patlamak,pat sesi,A1
641,poor,fakir,zavallı,kötü,A1
642,pool,havuz,bilardo,gölet,A1
643,pollution,kirlilik,çevre kirliliği,kirletme,A1
644,sea,deniz,derya,dalga,A1
645,point,nokta,puan,işaret etmek,A1
646,poem,şiir,manzume,koşuk,A1
647,pocket,cep,harçlık,cep tipi,A1
648,seat,koltuk,oturacak yer,merkez,A1
649,potato,patates,patates yumrusu,sebze,A1
650,horse,at,beygir,kısrak,A1
651,skirt,etek,kenar,kenarından geçmek,A1
652,sky,gökyüzü,gök,sema,A1
653,king,kral,hükümdar,şah,A1
654,kind,tür,nazik,kibar,A1
655,kill,öldürmek,katletmek,sonlandırmak,A1
656,kid,çocuk,keçi yavrusu,takılmak,A1
657,kick,tekmelemek,tekme,vuruş,A1
658,spy,casus,ajan,gözetlemek,A1
659,key,anahtar,tuş,kilit,A1
660,keep,tutmak,saklamak,korumak,A1
661,just,sadece,henüz,adil,A1
662,June,haziran,haziran ayı,yaz ayı,A1
663,jump,atlamak,sıçramak,atlayış,A1
664,July,temmuz,temmuz ayı,yaz ayı,A1
665,juice,meyve suyu,özsu,suyu,A1
666,stage,sahne,aşama,evre,A1
667,judge,hâkim,yargıç,yargılamak,A1
668,join,katılmak,birleştirmek,üye olmak,A1
669,job,iş,meslek,görev,A1
670,jewelry/jewellery,takı,mücevher,ziynet,A1
671,jet,jet uçağı,püskürtme,fışkırtmak,A1
672,jeans,kot pantolon,kot,kot giysi,A1
673,January,ocak,ocak ayı,kış ayı,A1
674,jacket,ceket,mont,kılıf,A1
675,its,onun,bunun,kendinin,A1
676,kiss,öpücük,öpmek,buse,A1
677,item,öge,madde,parça,A1
678,kitchen,mutfak,yemekhane,aşevi,A1
679,knee,diz,diz kapağı,köşe,A1
680,lesson,ders,ibret,öğüt,A1
681,speech,konuşma,nutuk,söylev,A1
682,spell,hecelemek,büyü,harf söylemek,A1
683,spend,harcamak,vakit geçirmek,tüketmek,A1
684,leg,bacak,ayak,etap,A1
685,left,sol,sol taraf,kalmış,A1
686,leave,ayrılmak,terk etmek,bırakmak,A1
687,learn,öğrenmek,bellemek,duymak,A1
688,leaf,yaprak,sayfa,tabaka,A1
689,leader,lider,önder,başkan,A1
690,lazy,tembel,üşengeç,miskin,A1
691,laugh,gülmek,gülüş,kahkaha,A1
692,later,daha sonra,sonra,sonradan,A1
693,late,geç,gecikmiş,merhum,A1
694,last name,soyadı,soyisim,aile adı,A1
695,large,büyük,geniş,iri,A1
696,sport,spor,sportif faaliyet,eğlence,A1
697,language,dil,lisan,üslup,A1
698,spot,nokta,leke,yer,A1
699,lady,hanımefendi,bayan,hanım,A1
700,spring,ilkbahar,bahar,yay,A1
701,know,bilmek,tanımak,farkında olmak,A1
702,knife,bıçak,kesici alet,bıçaklamak,A1
703,kite,uçurtma,çaylak kuşu,uçurtma uçurmak,A1
704,let,izin vermek,bırakmak,kiralamak,A1
705,stand,ayakta durmak,katlanmak,stant,A1
706,island,ada,izole yer,trafik adası,A1
707,student,öğrenci,talebe,kursiyer,A1
708,study,ders çalışmak,incelemek,çalışma odası,A1
709,imagine,hayal etmek,tasarlamak,sanmak,A1
710,if,eğer,şayet,ise,A1
711,subject,konu,ders,özne,A1
712,ideal,ideal,mükemmel,ülkü,A1
713,idea,fikir,düşünce,görüş,A1
714,ice cream,dondurma,dondurulmuş tatlı,kremalı dondurma,A1
715,ice,buz,buz tutmak,buzlamak,A1
716,I,ben,şahsım,bendeniz,A1
717,subway,metro,yeraltı treni,alt geçit,A1
718,husband,eş,koca,erkek eş,A1
719,hurt,acıtmak,yaralamak,incitmek,A1
720,hurry,acele etmek,telaşlanmak,acele,A1
721,hungry,aç,acıkmış,arzulu,A1
722,successful,başarılı,muvaffak,sonuç veren,A1
723,how,nasıl,ne şekilde,ne derece,A1
724,sugar,şeker,kesme şeker,tatlandırmak,A1
725,house,ev,konut,bina,A1
726,hour,saat,ders saati,zaman,A1
727,hotel,otel,konaklama yeri,han,A1
728,hot,sıcak,acı,kızgın,A1
729,suggestion,öneri,teklif,tavsiye,A1
730,important,önemli,mühim,kayda değer,A1
731,it,o,bunu,ona,A1
732,strong,güçlü,kuvvetli,sağlam,A1
733,strict,katı,sert,titiz,A1
734,is,-dır,olmak,var olmak,A1
735,star,yıldız,ünlü,yıldız şeklinde,A1
736,start,başlamak,başlatmak,başlangıç,A1
737,station,istasyon,gar,santral,A1
738,stay,kalmak,durmak,konaklamak,A1
739,introduce,tanıtmak,tanıştırmak,sunmak,A1
740,into,içine,içeriye,tarafına,A1
741,interviewer,mülakat yapan,röportajcı,görüşmeci,A1
742,interview,mülakat,röportaj,görüşme yapmak,A1
743,Internet/internet,internet,genel ağ,sanal alem,A1
744,interesting,ilginç,ilgi çekici,merak uyandıran,A1
745,interested,ilgili,meraklı,alakadar,A1
746,step,adım,basamak,adım atmak,A1
747,still,hala,yine de,hareketsiz,A1
748,inside,içinde,iç kısım,içeriye,A1
749,stone,taş,çekirdek,taşlamak,A1
750,stop,durmak,durdurmak,durak,A1


